time,_Eihop,_P0,hops,d,_R,_Nb
4410049110,0.104,0.28,1,135,250,90
4421158451,0.18,0.10,1,135,250,90
4467690381,0.79,0.25,1,135,250,90
4494908484,0.111,0.28,1,135,250,90
4514214915,0.18,0.10,1,135,250,90
4550880089,0.162,0.36,1,135,250,90
4557965008,0.39,0.18,1,135,250,90
4590743974,0.39,0.18,1,135,250,90
4640036165,0.86,0.25,1,135,250,90
4654489395,0.162,0.36,1,135,250,90
4661290223,0.14,0.10,1,135,250,90
4689759005,0.68,0.21,1,135,250,90
4698924110,0.169,0.36,1,135,250,90
4708511758,0.07,0.07,1,135,250,90
4737684344,0.61,0.21,1,135,250,90
4788371128,0.79,0.25,1,135,250,90
4809899644,0.133,0.32,1,135,250,90
4846290234,0.07,0.07,1,135,250,90
4855322096,0.25,0.14,1,135,250,90
4881153225,0.165,0.36,1,135,250,90
4894346704,0.140,0.32,1,135,250,90
4917958599,0.43,0.18,1,135,250,90
4921002126,0.194,0.39,1,135,250,90
4955033499,0.162,0.36,1,135,250,90
4961149576,0.82,0.25,1,135,250,90
4981418198,0.133,0.32,1,135,250,90
4990583018,0.39,0.18,1,135,250,90
4994199456,0.144,0.32,1,135,250,90
5030308688,0.86,0.25,1,135,250,90
5033645667,0.14,0.10,1,135,250,90
5070727763,0.61,0.21,1,135,250,90
5116970931,0.07,0.07,1,135,250,90
5119895482,0.39,0.18,1,135,250,90
5191277572,0.43,0.18,1,135,250,90
5226274678,0.140,0.32,1,135,250,90
5254893443,0.64,0.21,1,135,250,90
5255034002,0.104,0.28,1,135,250,90
5259058635,0.14,0.10,1,135,250,90
5317660393,0.104,0.28,1,135,250,90
5321270514,0.86,0.25,1,135,250,90
5348220953,0.14,0.10,1,135,250,90
5361559477,0.111,0.28,1,135,250,90
5363911144,0.39,0.18,1,135,250,90
5376418685,0.28,0.14,1,135,250,90
5401697093,0.39,0.18,1,135,250,90
5440855702,0.190,0.39,1,135,250,90
5498496135,0.39,0.18,1,135,250,90
