time,_Eihop,_P0,hops,d,_R,_Nb
16737,310722,169,146076,2,67,250,90
28543,298911,819,151063,1,135,250,90
26863,300590,650,160132,1,135,250,90
26988,300469,613,156832,1,135,250,90
28582,298871,916,153067,1,135,250,90
17447,310010,226,146663,2,67,250,90
17436,310021,226,151226,2,67,250,90
28385,299072,871,147370,1,135,250,90
27811,299642,691,156106,1,135,250,90
21388,306070,2284,156370,2,67,250,90
17708,309741,58,155436,2,67,250,90
28622,298835,1011,148855,1,135,250,90
19751,307714,113,146409,2,67,250,90
21416,306039,283,148181,2,67,250,90
28081,299363,837,148423,1,135,250,90
27915,299536,918,149998,1,135,250,90
19512,307945,118,152259,2,67,250,90
21039,306416,392,149384,2,67,250,90
32987,294468,3341,140487,1,135,250,90
20539,306916,335,152603,2,67,250,90
18849,308607,170,149780,2,67,250,90
18110,309346,167,151768,2,67,250,90
26600,300845,828,154757,1,135,250,90
16645,310808,337,149095,2,67,250,90
26860,300594,746,150262,1,135,250,90
15075,312383,113,156147,2,67,250,90
27449,300001,1301,145691,1,135,250,90
15418,312040,114,144069,2,67,250,90
21442,306006,585,155374,1,135,250,90
17619,309837,2217,149977,2,67,250,90
21409,306047,658,150576,1,135,250,90
12474,314975,58,154347,2,67,250,90
19737,307719,543,155566,1,135,250,90
12477,314990,55,153179,2,67,250,90
19914,307543,650,156791,1,135,250,90
12589,314877,55,149234,2,67,250,90
19352,308102,648,158488,1,135,250,90
12389,315078,55,153942,2,67,250,90
20215,307242,697,157921,1,135,250,90
12323,315144,55,155643,2,67,250,90
20205,307253,483,152165,1,135,250,90
21809,305659,4378,146712,2,67,250,90
19161,308290,865,150145,1,135,250,90
17650,309797,2210,145174,2,67,250,90
16828,310633,589,159638,1,135,250,90
12604,314845,57,153595,2,67,250,90
18294,309159,641,154205,1,135,250,90
17894,309570,2223,143646,2,67,250,90
14861,312598,479,156957,1,135,250,90
12331,315117,57,155430,2,67,250,90
14233,313224,415,154477,1,135,250,90
12328,315140,55,159391,2,67,250,90
14349,313109,416,156373,1,135,250,90
13523,313945,55,156317,2,67,250,90
13492,313966,361,154815,1,135,250,90
13446,314021,55,158505,2,67,250,90
18016,309442,741,158920,1,135,250,90
13621,313845,55,151360,2,67,250,90
16613,310845,481,146604,1,135,250,90
21751,305716,4393,148615,2,67,250,90
16009,311449,595,156065,1,135,250,90
17472,314045,2211,155547,2,67,250,90
16971,310490,586,159978,1,135,250,90
14065,317242,171,156289,2,67,250,90
18874,308582,487,149792,1,135,250,90
13722,313766,56,150331,2,67,250,90
20347,307109,954,149100,1,135,250,90
21620,305843,4372,146550,2,67,250,90
16450,311004,532,153607,1,135,250,90
13418,314263,58,152520,2,67,250,90
16548,310909,534,150725,1,135,250,90
17231,310235,2223,146756,2,67,250,90
17385,310075,680,160232,1,135,250,90
13553,313893,57,151902,2,67,250,90
19333,308125,754,158495,1,135,250,90
16892,310575,2211,147656,2,67,250,90
18677,308780,369,152008,1,135,250,90
21270,306178,4388,148708,2,67,250,90
20116,307342,524,159349,1,135,250,90
13331,314119,57,152753,2,67,250,90
21424,306032,545,156568,1,135,250,90
17664,309803,2222,145010,2,67,250,90
21469,305986,702,150458,1,135,250,90
13586,313860,57,157124,2,67,250,90
20924,306531,802,155555,1,135,250,90
17583,309883,2222,152651,2,67,250,90
19461,307994,703,155505,1,135,250,90
12620,314828,114,151330,2,67,250,90
19794,307662,656,149837,1,135,250,90
17180,310278,2220,143185,2,67,250,90
16797,310656,645,157487,1,135,250,90
12436,315011,57,153419,2,67,250,90
16128,311331,533,158023,1,135,250,90
12384,315082,55,152062,2,67,250,90
18219,309240,581,161438,1,135,250,90
12467,315001,55,154524,2,67,250,90
19108,308349,526,157679,1,135,250,90
21598,305869,4365,145665,2,67,250,90
20481,306975,703,151263,1,135,250,90
21391,306057,4382,146311,2,67,250,90
19857,307598,707,156014,1,135,250,90
13705,313745,58,145455,2,67,250,90
17710,309746,752,152977,1,135,250,90
17603,309864,2219,157106,2,67,250,90
18170,309286,482,155882,1,135,250,90
13420,314026,57,157509,2,67,250,90
18718,308738,762,154053,1,135,250,90
17879,309590,2224,148539,2,67,250,90
17281,310176,370,156009,1,135,250,90
17633,309814,2225,150921,2,67,250,90
19593,307865,637,156641,1,135,250,90
17627,309820,2225,152020,2,67,250,90
20751,306705,657,155809,1,135,250,90
17741,309707,2160,149579,2,67,250,90
19868,307588,761,151968,1,135,250,90
21935,309580,4364,149094,2,67,250,90
19177,308274,774,144868,1,135,250,90
14233,317073,229,147210,2,67,250,90
17825,309633,654,153820,1,135,250,90
13735,313754,56,154953,2,67,250,90
18031,309429,699,154231,1,135,250,90
17475,309985,2222,151279,2,67,250,90
18293,309165,574,157382,1,135,250,90
22214,305468,4400,144620,2,67,250,90
19415,308215,430,155054,1,135,250,90
17514,309933,2220,148787,2,67,250,90
21304,306255,590,157250,1,135,250,90
12720,314730,57,155965,2,67,250,90
20868,306819,647,152525,1,135,250,90
13536,313929,54,154271,2,67,250,90
20704,306752,734,155590,1,135,250,90
13540,313926,56,157112,2,67,250,90
20633,306825,527,154268,1,135,250,90
17217,310249,2208,149347,2,67,250,90
22096,305356,1020,146516,1,135,250,90
13801,313650,57,148549,2,67,250,90
17818,309630,538,160353,1,135,250,90
13689,313776,55,148312,2,67,250,90
19101,308356,631,149834,1,135,250,90
13587,313881,55,156565,2,67,250,90
19271,308185,684,154286,1,135,250,90
17791,309674,2216,149539,2,67,250,90
18735,308717,754,153677,1,135,250,90
12585,314864,57,152346,2,67,250,90
14645,312813,622,153056,1,135,250,90
13364,314102,110,158064,2,67,250,90
13099,314358,258,155760,1,135,250,90
12975,314485,56,159011,2,67,250,90
14082,313376,314,155761,1,135,250,90
13563,313902,54,157058,2,67,250,90
13163,314295,260,155979,1,135,250,90
13402,314066,55,158504,2,67,250,90
15558,311899,424,158160,1,135,250,90
13415,314051,54,157857,2,67,250,90
16994,310464,750,147829,1,135,250,90
18033,309433,2274,146409,2,67,250,90
14425,313032,467,157434,1,135,250,90
12311,315137,57,157487,2,67,250,90
14330,313127,528,154032,1,135,250,90
13245,314223,111,157552,2,67,250,90
14161,313296,364,156091,1,135,250,90
12432,315025,56,158874,2,67,250,90
15715,311744,644,151915,1,135,250,90
14443,313025,221,153133,2,67,250,90
15289,312167,601,156107,1,135,250,90
13150,314307,112,156815,2,67,250,90
14811,312646,417,158426,1,135,250,90
12444,315014,57,156971,2,67,250,90
16052,311406,569,154220,1,135,250,90
12505,314963,55,153787,2,67,250,90
14214,313244,313,157285,1,135,250,90
12313,315154,55,157583,2,67,250,90
13831,313626,348,154848,1,135,250,90
13418,314051,55,159025,2,67,250,90
14685,312774,461,158689,1,135,250,90
13611,313855,55,152911,2,67,250,90
14428,313029,366,156301,1,135,250,90
13432,314034,55,156726,2,67,250,90
16072,311386,570,156983,1,135,250,90
13658,313809,55,154976,2,67,250,90
17073,310384,846,156805,1,135,250,90
14360,313107,111,156545,2,67,250,90
13035,314423,259,160355,1,135,250,90
13371,314086,57,157976,2,67,250,90
14789,312670,412,158400,1,135,250,90
13557,313911,55,158755,2,67,250,90
14575,312885,314,156291,1,135,250,90
13478,313989,55,157062,2,67,250,90
15523,311932,313,153968,1,135,250,90
13406,314060,55,159365,2,67,250,90
14319,313138,258,156783,1,135,250,90
13495,313972,55,159019,2,67,250,90
16174,311283,425,159417,1,135,250,90
13435,314033,55,158616,2,67,250,90
15543,311914,358,152634,1,135,250,90
13433,314033,55,157858,2,67,250,90
15782,311675,414,157420,1,135,250,90
13573,313894,55,157768,2,67,250,90
15781,311676,459,155694,1,135,250,90
13450,314018,55,157079,2,67,250,90
16229,311227,504,153942,1,135,250,90
13534,313932,55,156723,2,67,250,90
16060,311398,504,156438,1,135,250,90
13713,313754,55,153401,2,67,250,90
16084,311373,504,157476,1,135,250,90
17780,309687,2225,152359,2,67,250,90
15891,311567,421,153848,1,135,250,90
12290,315157,57,160052,2,67,250,90
14355,313102,258,154959,1,135,250,90
12430,315038,55,157985,2,67,250,90
16148,311310,504,158998,1,135,250,90
12419,315048,56,155026,2,67,250,90
14260,313196,258,155840,1,135,250,90
12268,315198,55,158505,2,67,250,90
17406,310054,570,161151,1,135,250,90
12640,314827,55,152180,2,67,250,90
19375,308082,640,145617,1,135,250,90
21470,305998,4364,150992,2,67,250,90
18769,308686,932,151457,1,135,250,90
18536,308912,2281,151303,2,67,250,90
15617,311840,377,159672,1,135,250,90
12701,314747,57,157075,2,67,250,90
17674,309783,825,154594,1,135,250,90
15313,312153,165,154938,2,67,250,90
16694,310763,486,157703,1,135,250,90
13424,314032,57,156980,2,67,250,90
15729,311729,369,156638,1,135,250,90
17807,309660,2222,155444,2,67,250,90
15761,311696,467,153605,1,135,250,90
13588,313861,58,152612,2,67,250,90
14182,313276,256,158556,1,135,250,90
13362,314103,55,158744,2,67,250,90
17338,310122,526,158309,1,135,250,90
13611,313857,55,154534,2,67,250,90
19506,307950,682,157827,1,135,250,90
13651,313816,55,156053,2,67,250,90
18870,308587,537,151707,1,135,250,90
21750,305716,4389,142936,2,67,250,90
20586,306870,593,154994,1,135,250,90
17391,310057,2214,150598,2,67,250,90
20365,307092,596,153545,1,135,250,90
21227,306220,4388,147687,2,67,250,90
